k,skeleton_graph,definite_order_perturbated_graph,random_order_perturbated_graph,dop_like_random_graph,rop_like_random_graph
0,-3.1086244689504383e-15,5.941768588902985e-14,-2.1538326698169834e-14,5.563570988254712e-13,-3.6523084903650194e-14
1,-1.435546575696196e-16,2.0000000000000044,1.999999999999963,30.25469030721625,24.670995215112942
2,8.881784197001252e-16,2.000000000000007,2.9257057199620866,38.154701278114786,28.086812567602543
3,1.91991149696987e-15,2.000000000000025,2.980089544050257,49.96938949286353,37.43418100300076
4,1.9999999999999971,3.999999999999963,4.000000000000025,52.29322332154366,39.77461043644778
5,1.9999999999999978,3.999999999999992,4.9082149733488,63.36835250602939,43.56846055979449
6,1.999999999999998,4.000000000000073,4.965564615607011,65.59694824650973,45.77462945124626
7,1.9999999999999987,6.000000000000158,6.000000000000043,70.47865966165146,49.097721829720086
8,1.999999999999999,19.461578069166382,17.84729220332409,75.72966550298524,53.97369132619516
9,1.9999999999999993,19.666524527974193,17.848477296324134,78.75850150727679,55.6382518748405
10,1.9999999999999993,19.707948935611032,19.17500335426864,81.52690876355076,60.50906275244647
11,1.9999999999999998,19.996835294258073,19.216549450022125,86.85650559131066,62.052652239403606
12,2.0,20.710765543154974,19.908039030945613,92.09378959064011,63.547264825010956
13,2.0,20.825261292940628,19.918001244090124,94.09876880120503,65.43245931877044
14,2.0,21.38043461411791,26.98401567055126,97.23738668246547,70.88343435260673
15,2.0000000000000004,21.68121088353343,27.031222100743538,105.11145782095801,72.27423936049078
16,2.0000000000000004,23.647174047150973,40.16594561939602,108.93843944252069,75.00468036811971
17,2.000000000000001,23.895434718640296,40.18655583700822,112.78397727352197,77.45172653935408
18,2.0000000000000013,24.005917237198894,52.41396013178989,117.87698485334937,78.00718284506056
19,2.0000000000000018,24.533679171906186,52.470629661986244,119.31493328396584,79.58835097345042
20,3.999999999999995,25.47207078138249,82.14834889525288,122.47661617074988,87.86264401656253
21,3.9999999999999964,25.59581544038782,82.17470566557044,131.24288065670174,93.47184179005833
22,3.999999999999997,25.81145575620683,100.81447719475334,136.44875169495026,96.54651077808501
23,3.999999999999997,25.866900806096616,100.81449110961246,137.47758660437063,97.17465563947344
24,3.999999999999997,92.4579782184586,108.65580685759764,145.1982683723784,99.49594823003156
25,3.999999999999997,92.5936930788973,108.88768966941875,149.17566475225195,103.88110125789134
26,3.999999999999998,93.00496132769193,116.22134346551785,151.4452844006986,108.32161176736413
27,3.9999999999999982,93.06610290817706,116.48337689546427,154.6507145066282,111.63006076393184
28,3.9999999999999987,93.78315947091308,124.99235864771865,156.2289363403236,113.50022013046333
29,3.999999999999999,93.8903600752243,125.0787734914223,160.48326002236107,115.51393956663627
30,3.999999999999999,94.30614723823938,134.77845964013662,167.19172803295723,121.46538789185304
31,4.000000000000001,94.33468673177576,134.79443321600945,175.88409618750998,124.82057869485021
32,4.000000000000001,317.4218185687703,158.58699983408388,181.46610353437617,130.76021732113148
33,4.000000000000001,318.1319087816269,158.63555155429506,183.74492029258803,134.35768295328094
34,4.000000000000001,318.30107545239656,160.08010516145544,197.5122837812414,136.60718512304592
35,4.000000000000002,318.92636124809053,160.13828114287242,203.52316374726544,139.51245019761535
36,4.000000000000003,319.08866333371736,161.07560772558315,209.7239262769679,142.15581143856798
37,4.000000000000003,319.75560359720987,161.1370737176396,210.09681717120066,147.43439179304724
38,4.0000000000000036,319.9432228483577,176.67935109209577,215.68834367658857,151.6366239626704
39,4.0000000000000036,320.5251700029423,176.84280471430674,223.13200541991273,153.3456371565579
40,4.000000000000004,364.00736234668875,179.2859292801099,230.93489135553034,159.04745082124384
41,4.000000000000005,364.16881058219855,179.77268997714458,237.36830033030924,162.68418292755115
42,4.000000000000005,364.2919720834628,181.47294438929418,243.01814322220133,166.1837684565822
43,4.000000000000006,364.4207561355715,181.75405247309925,247.94956066991733,170.70542398954652
44,5.999999999999996,364.4903889019812,183.42119711543918,253.98964331944416,174.27998983853553
45,5.9999999999999964,364.64147899006275,183.94948088496864,264.3433985524758,180.0745913980189
46,5.999999999999997,364.6891802798991,205.1523053738451,272.2565853281721,188.0892939780128
47,5.999999999999997,364.93726249687927,205.1637192448652,283.09704602538136,189.85090303924258
48,5.999999999999998,395.74520373030686,241.61457329454095,285.2420566827924,192.56045544252797
49,5.999999999999999,396.5245378806611,241.86247286225128,293.1465739387179,194.9343295628906
50,5.999999999999999,396.70793523504085,258.49014527033694,295.7097761666186,201.18883294743446
51,5.999999999999999,397.1354200099406,258.734580087139,305.7327392070012,208.8569758044875
52,6.0,397.5875086595802,282.53061165461924,321.43476701059507,212.07337295930517
53,6.0,397.99700770376336,282.60275661395576,322.7597429625273,216.00979183048491
54,6.000000000000001,398.21105422839906,282.6536758851835,333.9327876892683,217.96656184318462
55,6.000000000000001,399.16245499299134,282.8451283606998,344.71761552514215,229.41694594435813
56,6.000000000000002,437.87776198472716,284.4776804030292,366.66063079799164,239.44808680670542
57,6.000000000000002,437.88164879888996,284.7041126685108,373.53165719072797,249.50631161208986
58,6.0000000000000036,438.13803144394876,297.9909285274822,391.6070005524776,255.90715710435643
59,6.0000000000000036,438.23650944476776,298.0403705596811,404.2274475036869,269.161790747349
60,7.999999999999999,439.5742012393509,299.29704025659913,435.67365574602184,279.9682981829629
61,7.999999999999999,439.5829672428219,299.3289517307751,479.42347744297456,283.29727651585006
62,8.0,439.8167634537559,337.7815587138481,526.4967351048169,349.5260077331628
63,8.000000000000004,439.91131311859226,337.83909284672905,567.2205174812622,372.926459015541
